,,Acceleration,,Skidpad,,Autocross,,Endurance,,,
,,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,Tmin,Tmax ,,
,,3.746,5.619,4.934,6.1675,45.734,66.3143,1369.936,1986.4072,,
1.8,1.5,3.482,121.738,4.176,153.598,51.840,80.024,56.660,1246.523,329.755,685.114
1.8,1.8,3.482,121.699,4.153,156.740,51.496,82.273,56.303,1238.662,335.374,696.086
1.8,2.1,3.483,121.660,4.129,159.954,51.158,84.517,55.946,1230.821,341.049,707.180
1.8,2.4,3.483,121.622,4.106,163.243,50.825,86.753,55.592,1223.016,346.771,718.388
1.8,2.7,3.484,121.583,4.082,166.608,50.493,89.012,55.238,1215.234,352.549,729.752
1.8,3,3.484,121.544,4.058,170.054,50.162,91.295,54.882,1207.413,358.431,741.325
1.8,3.3,3.484,121.505,4.033,173.582,49.831,93.606,54.526,1199.581,364.399,753.092
1.8,3.6,3.485,121.466,4.009,177.196,49.499,95.954,54.172,1191.779,370.421,765.037
1.8,3.9,3.485,121.427,3.985,180.899,49.168,98.334,53.820,1184.049,376.466,777.127
1.8,4.2,3.486,121.388,3.960,184.695,48.839,100.724,53.471,1176.366,382.554,789.361
1.8,4.5,3.486,121.349,3.935,188.586,48.513,103.125,53.125,1168.743,388.672,801.733
1.8,4.8,3.487,121.310,3.910,192.577,48.193,105.515,52.783,1161.218,394.791,814.193
1.8,5.1,3.487,121.270,3.885,196.671,47.880,107.884,52.441,1153.695,400.988,826.813
1.8,5.4,3.488,121.231,3.860,200.872,47.571,110.252,52.098,1146.146,407.288,839.643
1.8,5.7,3.488,121.191,3.835,205.186,47.263,112.647,51.752,1138.545,413.717,852.741
1.8,6,3.488,121.152,3.809,209.615,46.955,115.067,51.404,1130.896,420.272,866.106
2,0,3.495,120.615,4.292,138.849,53.616,68.869,58.495,1286.899,301.978,630.311
2,0.3,3.495,120.574,4.269,141.664,53.268,70.995,58.140,1279.076,307.223,640.456
2,0.6,3.495,120.533,4.246,144.540,52.919,73.156,57.783,1271.234,312.546,650.773
2,0.9,3.496,120.492,4.223,147.478,52.570,75.347,57.428,1263.406,317.925,661.241
2,1.2,3.496,120.450,4.200,150.482,52.221,77.566,57.071,1255.559,323.383,671.882
2,1.5,3.497,120.409,4.177,153.553,51.875,79.798,56.713,1247.697,328.922,682.682
2,1.8,3.497,120.368,4.153,156.694,51.533,82.034,56.357,1239.852,334.518,693.615
2,2.1,3.498,120.326,4.130,159.907,51.196,84.262,56.002,1232.038,340.163,704.659
2,2.4,3.498,120.285,4.106,163.195,50.865,86.485,55.648,1224.262,345.853,715.817
2,2.7,3.499,120.243,4.082,166.559,50.534,88.732,55.295,1216.487,351.613,727.148
2,3,3.499,120.201,4.058,170.003,50.204,91.004,54.940,1208.689,357.467,738.675
2,3.3,3.500,120.159,4.034,173.530,49.874,93.305,54.585,1200.864,363.415,750.410
2,3.6,3.500,120.117,4.010,177.143,49.543,95.642,54.231,1193.088,369.405,762.308
2,3.9,3.501,120.075,3.985,180.845,49.213,98.007,53.881,1185.382,375.418,774.346
2,4.2,3.501,120.033,3.960,184.639,48.886,100.380,53.533,1177.723,381.473,786.526
2,4.5,3.502,119.991,3.936,188.529,48.562,102.761,53.188,1170.136,387.548,798.829
2,4.8,3.502,119.949,3.911,192.518,48.245,105.124,52.848,1162.653,393.618,811.209
2,5.1,3.503,119.906,3.886,196.611,47.935,107.468,52.507,1155.154,399.780,823.765
2,5.4,3.503,119.864,3.861,200.811,47.627,109.820,52.164,1147.613,406.057,836.552
2,5.7,3.504,119.821,3.835,205.122,47.321,112.198,51.820,1140.034,412.451,849.592
2,6,3.504,119.778,3.810,209.550,47.014,114.603,51.473,1132.396,418.979,862.911
2.2,0,3.511,119.206,4.292,138.805,53.645,68.689,58.547,1288.033,301.223,627.924
2.2,0.3,3.511,119.163,4.270,141.619,53.299,70.806,58.192,1280.231,306.445,638.033
2.2,0.6,3.512,119.121,4.247,144.494,52.951,72.956,57.838,1272.427,311.732,648.303
2.2,0.9,3.512,119.078,4.224,147.432,52.603,75.138,57.483,1264.625,317.082,658.730
2.2,1.2,3.513,119.035,4.200,150.435,52.256,77.344,57.127,1256.791,322.522,669.335
2.2,1.5,3.513,118.992,4.177,153.505,51.912,79.561,56.770,1248.949,328.035,680.093
2.2,1.8,3.514,118.950,4.154,156.645,51.571,81.781,56.415,1241.131,333.601,690.975
2.2,2.1,3.514,118.907,4.130,159.856,51.237,83.990,56.061,1233.345,339.214,701.967
2.2,2.4,3.515,118.864,4.106,163.142,50.907,86.200,55.709,1225.592,344.874,713.080
2.2,2.7,3.515,118.821,4.082,166.506,50.577,88.436,55.356,1217.832,350.612,724.375
2.2,3,3.516,118.779,4.058,169.949,50.248,90.696,55.002,1210.049,356.440,735.863
2.2,3.3,3.516,118.736,4.034,173.475,49.919,92.987,54.647,1202.239,362.365,747.563
2.2,3.6,3.517,118.693,4.010,177.086,49.589,95.314,54.295,1194.480,368.327,759.420
2.2,3.9,3.517,118.651,3.985,180.787,49.261,97.661,53.945,1186.801,374.305,771.403
2.2,4.2,3.518,118.608,3.961,184.579,48.936,100.018,53.599,1179.172,380.321,783.526
2.2,4.5,3.518,118.565,3.936,188.467,48.614,102.377,53.256,1171.624,386.350,795.760
2.2,4.8,3.519,118.523,3.911,192.455,48.300,104.715,52.917,1164.163,392.387,808.079
2.2,5.1,3.519,118.480,3.886,196.546,47.992,107.036,52.577,1156.690,398.511,820.573
2.2,5.4,3.520,118.438,3.861,200.744,47.686,109.373,52.235,1149.171,404.754,833.308
